timestamp,x,y,z,j.0,j.1,j.2,j.3,j.4,j.5,d_j.0,d_j.1,d_j.2,d_j.3,d_j.4,d_j.5
4.40999999999995,0.057308324265397836,-0.03752670048793738,-0.25,-0.5797569155693054,-1.0742877986650505,3.139879141925311,-3.141592653589793,-0.5765396330013173,-0.9910394112255911,0.0,0.0,0.0,0.0,0.0,0.0
4.41999999999995,0.057612046748871326,-0.03826834323650897,-0.25,-0.5863221287727356,-1.0743175506869136,3.139867463207425,-3.141592653589793,-0.5765189114805247,-0.984474198022161,0.0,0.0,0.0,0.0,0.0,0.0
4.42999999999995,0.05792170313794118,-0.03900752808090466,-0.25,-0.5926859378814697,-1.074347701574176,3.1398556677732987,-3.141592653589793,-0.5764979462321597,-0.9781103889134269,0.0,0.0,0.0,0.0,0.0,0.0
4.43999999999995,0.05823727354395615,-0.03974420754466326,-0.25,-0.5988521575927734,-1.0743782433733493,3.139843759652793,-3.141592653589793,-0.576476743572378,-0.9719441692021232,0.0,0.0,0.0,0.0,0.0,0.0
4.4499999999999496,0.05855873769841874,-0.04047833431223934,-0.25,-0.6048247814178467,-1.0744091699121263,3.139831742663155,-3.141592653589793,-0.5764553089925505,-0.9659715453770499,0.0,0.0,0.0,0.0,0.0,0.0
4.459999999999949,0.05888607495428706,-0.041209861232042524,-0.25,-0.6106075644493103,-1.0744404734675363,3.1398196207084013,-3.141592653589793,-0.5764336486180887,-0.9601887623455863,0.0,0.0,0.0,0.0,0.0,0.0
4.469999999999949,0.05921926428730079,-0.041938741319465636,-0.25,-0.6162043213844299,-1.0744721483562554,3.139807397647596,-3.141592653589793,-0.5764117677995637,-0.9545920054104666,0.0,0.0,0.0,0.0,0.0,0.0
4.479999999999949,0.05955828429733172,-0.04266492775990277,-0.25,-0.621618926525116,-1.0745041855892765,3.1397950767847043,-3.141592653589793,-0.5763896726067904,-0.9491774002697807,0.0,0.0,0.0,0.0,0.0,0.0
4.489999999999949,0.05990311320975811,-0.043388373911755804,-0.25,-0.626855194568634,-1.0745365797200712,3.139782661824828,-3.141592653589793,-0.5763673681733003,-0.9439411322262625,0.0,0.0,0.0,0.0,0.0,0.0
4.4999999999999485,0.06025372887686324,-0.04410903330943023,-0.25,-0.6319169402122498,-1.0745693243948757,3.139770156314489,-3.141592653589793,-0.5763448598246966,-0.9388793865826469,0.0,0.0,0.0,0.0,0.0,0.0
4.509999999999948,0.06061010877925804,-0.04482685966631969,-0.25,-0.6368077993392944,-1.0746024109884242,3.1397575630130614,-3.141592653589793,-0.5763221530341248,-0.933988527455602,0.0,0.0,0.0,0.0,0.0,0.0
4.519999999999948,0.06097223002732732,-0.045541806877778555,-0.25,-0.6415315270423889,-1.0746358361674169,3.1397448856953485,-3.141592653589793,-0.576299252231709,-0.9292647997525076,0.0,0.0,0.0,0.0,0.0,0.0
